day,energy_sum,NoOfHouse,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,IsBankHoliday
2012-03-22,11329.095996300002,1111,10.19720611728173,15.81,80,5.28,0.1,3.71,1029.23,15.81,6.63,0.72,6.74,15.81,3.0,6.74,6.14,15.81,3.51,0.99,0
2012-03-23,11662.134995000011,1141,10.220977208588966,19.48,88,7.29,0.07,1.01,1026.63,19.48,5.05,0.74,6.42,19.48,3.0,6.42,6.74,19.48,6.74,0.03,0
2012-03-24,12095.621000599995,1179,10.259220526378282,18.83,83,6.81,0.08,2.12,1028.59,18.83,6.12,0.74,2.47,18.83,3.0,4.4,6.42,18.83,6.42,0.06,1
2012-03-25,12701.996002199992,1185,10.71898396810126,18.18,77,4.3,0.15,2.85,1036.22,18.18,8.16,0.71,4.77,18.18,3.0,5.32,3.84,18.18,2.4,0.12,1
2012-03-25,12701.996002199992,1185,10.71898396810126,13.79,70,4.69,0.39,2.58,1033.5,13.79,9.0,0.78,2.4,13.79,3.0,3.84,4.4,13.79,2.47,0.09,1
2012-03-26,11887.118002100011,1187,10.01442123176075,18.26,76,1.49,0.14,2.09,1036.33,18.26,11.64,0.53,4.88,18.26,3.0,4.88,5.32,18.26,4.77,0.15,0
2012-03-27,11492.681998199996,1200,9.577234998499996,21.14,9,1.45,0.1,0.82,1032.69,21.14,12.62,0.49,5.82,21.14,3.0,6.89,4.88,21.14,4.88,0.18,0
2012-03-28,11545.703003299996,1208,9.557701161672181,19.16,329,5.11,0.19,1.76,1027.92,19.16,10.85,0.61,6.71,19.16,4.0,7.81,6.89,19.16,5.82,0.21,0
2012-03-29,11395.140000399999,1223,9.31736713033524,17.12,314,6.67,0.16,1.28,1024.2,17.12,7.5,0.71,5.32,17.12,3.0,7.37,7.81,17.12,6.71,0.24,0
2012-03-30,11342.68500090001,1210,9.374119835454554,11.09,15,3.71,0.61,3.31,1019.84,11.09,11.22,0.71,1.12,11.09,3.0,2.43,6.58,11.09,4.29,0.27,0
2012-03-31,12777.602999600014,1226,10.422188417292018,12.88,342,-0.04,0.25,1.15,1020.81,12.88,12.83,0.61,3.98,12.88,3.0,3.98,2.43,12.88,1.12,0.31,1
2012-04-01,13177.679999399998,1229,10.722278274532139,15.04,289,2.18,0.24,1.14,1011.19,15.04,12.46,0.63,5.04,15.04,3.0,5.04,3.98,15.04,3.98,0.34,1
2012-04-02,12355.343995299987,1227,10.069555008394447,12.92,262,4.77,0.31,1.72,1003.25,12.92,11.12,0.75,1.87,12.92,3.0,3.57,5.04,12.92,5.04,0.38,0
2012-04-03,12927.349001199987,1265,10.21924822229248,10.18,100,3.03,0.49,1.03,1006.81,10.18,11.47,0.75,3.26,10.18,3.0,6.51,3.57,10.18,1.87,0.41,0
2012-04-04,13090.8260019,1257,10.414340494749403,8.92,53,3.06,0.7,4.6,1018.58,6.47,9.64,0.76,-1.43,6.47,3.0,0.34,4.61,8.92,2.59,0.45,0
2012-04-05,13571.166997999997,1245,10.90053574136546,12.28,321,0.39,0.35,2.48,1016.01,12.28,13.05,0.65,6.42,12.28,3.0,7.92,0.34,12.28,-1.43,0.48,0
2012-04-06,14109.315005900009,1333,10.584632412528139,10.48,2,4.36,0.72,2.09,1012.32,10.48,11.64,0.75,4.57,10.48,3.0,6.52,6.86,10.48,6.42,0.53,1
2012-04-07,13818.316999200004,1338,10.327591180269062,13.08,245,6.43,0.72,2.85,1012.36,13.08,10.83,0.81,5.58,13.08,3.0,8.31,6.52,13.08,4.57,0.56,1
2012-04-08,14225.1639987,1336,10.647577843338324,10.81,222,7.97,0.72,5.9,997.57,10.81,11.15,0.89,2.8,10.81,3.0,5.94,8.31,10.81,5.58,0.6,1
